Biopac.acq
Graph Created on: 2025-06-12 11:39:41.009
Recording on: 2025-06-12 12:42:40.750
1 msec/sample
2 channels
PPG, X, PPGED-R
Volts
ECG, X, RSPEC-R
mV
min	CH1	CH9	
	546616 samples	546616 samples	
0.0119667	-1.01868	0.121307	
0.0119833	-1.01807	0.121918	
0.012	-1.01837	0.12085	
0.0120167	-1.01837	0.122375	
0.0120333	-1.01837	0.126953	
0.01205	-1.01624	0.127716	
0.0120667	-1.0141	0.127411	
0.0120833	-1.01074	0.125122	
0.0121	-1.00861	0.122528	
0.0121167	-1.00464	0.124359	
0.0121333	-1.00067	0.125732	
0.01215	-0.994873	0.125275	
0.0121667	-0.988159	0.125275	
0.0121833	-0.982056	0.125427	
0.0122	-0.974426	0.122986	
0.0122167	-0.966797	0.125427	
0.0122333	-0.958557	0.125122	
0.01225	-0.947571	0.129242	
0.0122667	-0.937805	0.129852	
0.0122833	-0.925903	0.125275	
0.0123	-0.914001	0.127258	
0.0123167	-0.899658	0.130005	
0.0123333	-0.884705	0.130768	
0.01235	-0.867615	0.128174	
